movieId,rating,userId
30354166,3,276
30354166,3,14859
30354166,4,7840
30354166,5,7482
30354166,3,4204
30354166,4,4136
30354166,5,18965
30354166,4,2871
30354166,3,2763
30354166,2,28383
30354166,4,98993
30354166,4,6335
30354166,5,114196
30354166,3,10034
30354166,4,1999
30354166,3,11356
30354166,3,569
30354166,5,108480
30354166,3,188088
30354166,2,82823
30354166,5,37473
30354166,5,201573
30354166,4,12085
30354166,5,139422
30354166,5,128682
30354166,3,63766
30354166,4,210484
30354166,3,36074
30354166,4,23301
30354166,4,147057
30354166,5,25847
30354166,4,253098
30354166,4,42001
30354166,4,40336
30354166,5,75784
30354166,5,232453
30354166,3,23020
30354166,3,109080
30354166,4,18127
27158530,4,464
27158530,4,19
27158530,3,241
27158530,3,2
27158530,3,292
27158530,4,30847
27158530,2,1099
27158530,3,2633
27158530,4,379
27158530,3,5464
27158530,2,1821
27158530,3,2759
27158530,3,3798
27158530,4,8572
27158530,2,46423
27158530,5,24444
27158530,3,64764
27158530,2,43072
27158530,3,173
27158530,3,82789
27158530,3,30084
27158530,3,25272
27158530,2,16500
27158530,3,6174
27158530,2,66897
27158530,3,36827
27158530,4,66481
27158530,3,15789
27158530,3,17696
27158530,2,2438
27158530,2,51728
27158530,3,19340
27158530,5,41384
27158530,2,31780
27158530,3,184227
27158530,3,95472
27158530,3,22628
27158530,4,94001
27158530,2,181171
27158530,4,156347
27158530,3,72230
27158530,3,164883
27158530,3,198309
27158530,1,237178
30206282,2,87751
30206282,2,44369
30206282,2,33345
30206282,3,3
30206282,2,9449
30206282,2,2820
30206282,2,12330
30206282,3,106759
30206282,1,3658
30206282,3,19328
26266919,3,38512
26266919,1,123581
26266919,3,98522
26266919,3,326
26266919,2,3781
26266919,5,4975
26266919,3,84433
26266919,1,153942
26266919,1,2136
26266919,2,158
26266919,3,2754
26266919,3,87704
26266919,1,257257
26266919,1,1712
26266919,2,31
26266919,1,107980
26266919,3,220542
26266919,2,46613
26266919,3,175
26266919,3,74218
26266919,5,52384
26266919,2,3144
26266919,4,433
26266919,1,183395
26266919,3,31960
26266919,4,2881
26266919,2,248
26266919,4,2094
26266919,2,30264
26266919,1,67920
26266919,1,83859
26266919,4,250903
26266919,1,98626
26266919,1,18526
26266919,5,33760
26266919,2,444
26266919,2,3148
26266919,2,252391
26266919,3,3159
26266919,4,493
26266919,1,38654
26266919,4,43642
26266919,2,992
26266919,4,35170
26266919,3,845
26266919,4,665
26266919,2,159159
26266919,4,11879
26266919,1,431
26266919,3,1321
26266919,3,1141
26266919,4,41101
26266919,2,60491
26266919,2,77081
26266919,2,8360
26266919,2,186
26266919,4,26375
26266919,4,755
26266919,2,171146
26266919,3,20
26266919,4,29353
26266919,2,3417
26266919,4,162644
26266919,3,5887
26266919,2,233792
26266919,2,14904
26266919,2,2535
26266919,2,73640
26266919,1,6982
26266919,3,90
26266919,1,17
26266919,1,202314
26266919,2,170344
26266919,1,32700
26266919,2,38587
26266919,2,104266
26266919,2,27630
26266919,1,61
26266919,2,74
26266919,2,8610
26266919,1,32618
26266919,3,1144
26266919,1,2635
26266919,2,20569
26266919,3,6068
26266919,1,75384
26266919,2,5550
26266919,1,203044
26266919,1,280
26266919,2,200790
26266919,3,54
26266919,1,244205
26266919,1,164039
26266919,1,55226
